"歌名","樂團","專輯","發行","作詞","作曲","編曲","連結","封面","別名","備註"
"C’est la vie drive","Poppin'Party","","","","","","","","",""
"CROWNED","Poppin'Party","","","","","","","","",""
"Crucifix X","Ave Mujica","","","","","","","","",""
"DEAD HEAT BEAT","RAISE A SUILEN","","","","","","","","",""
"Determination Symphony","Roselia","","","","","","","","",""
"Don't say ""lazy""","Ave Mujica","","","","","","","","",""
"Dreamers Go!","","","","","","","","","",""
"DRIVE US CRAZY","RAISE A SUILEN","","","","","","","","",""
"Drive Your Heart","","","","","","","","","",""
"Ether","Ave Mujica","","","","","","","","",""
"EXPOSE 'Burn out!!!'","RAISE A SUILEN","","","","","","","","",""
"FRONTIER FANTASIA","Roselia","","","","","","","","",""
"Georgette Me, Georgette You","Ave Mujica","","","","","","","","",""
"Light Delight","","","","","","","","","",""
"LIGHTS","Poppin'Party","","","","","","","","",""
"Live Beyond!!","","","","","","","","","",""
"Majestic Catastrophe","Ave Mujica","","","","","","","","",""
"MAYDAY","Poppin'Party","","","","","","","","",""
"Meteor -ミーティアー","Ave Mujica","","","","","","","","",""
"NEO ELDOLADO","Poppin'Party","","","","","","","","",""
"Neo-Aspect","Roselia","","","","","","","","",""
"No.6","","","","","","","","","",""
"Noise in me","Poppin'Party","","","","","","","","",""
"Now On Air","","","","","","","","","",""
"ONENESS","","","","","","","","","",""
"only my railgun","","","","","","","","","",""
"Palette Days","Ave Mujica","","","","","","","","",""
"PASSIONATE ANTHEM","Roselia","","","","","","","","",""
"Plunderer","","","","","","","","","",""
"POLARIS","RAISE A SUILEN","","","","","","","","",""
"R・I・O・T","RAISE A SUILEN","","","","","","","","",""
"ray","","","","","","","","","",""
"Requiem for Fate","","","","","","","","","",""
"RESISTER","RAISE A SUILEN,Morfonica","","","","","","","","",""
"Ringing Bloom","Roselia","","","","","","","","",""
"Shocking Blue","","","","","","","","","",""
"Sing Alive","","","","","","","","","",""
"Snow halation","","","","","","","","","",""
"Song I am.","Roselia","","","","","","","","",""
"STARS","Poppin'Party","","","","","","","","",""
"Symbol III : ▽","Ave Mujica","","","","","","","","",""
"Takin' my Heart","RAISE A SUILEN","","","","","","","","",""
"Time Lapse","","","","","","","","","",""
"What’s up FIRE!","Poppin'Party","","","","","","","","",""
"willドレス","Poppin'Party","","","","","","","","",""
"Wish for you","Pastel＊Palettes","","","","","","","","",""
"Yes! BanG_Dream!","","","","","","","","","",""
"ZEAL of proud","","","","","","","","","",""
"カザニア","","","","","","","","","",""
"キズナミュージック♪","","","","","","","","","",""
"キボウマイロード","","","","","","","","","",""
"キャンセルさせて人生","Poppin'Party","","","","","","","","",""
"ザ・センセーション","Poppin'Party","","","","","","","","",""
"シャルル","","","","","","","","","",""
"つまさきMovin'on!","","","","","","","","","",""
"ティアドロップス","","","","","","","","","",""
"ときめきエクスペリエンス！","","","","","","","","","",""
"ナツイロ探し","","","","","","","","","",""
"はよ、New World.","","","","","","","","","",""
"ひなたぼっこ。","","","","","","","","","",""
"ふわふわ時間","","","","","","","","","",""
"ぽっぴん'しゃっふる","","","","","","","","","",""
"ぽっぴん'どりーむ！","","","","","","","","","",""
"まるでマトリョーシカ","Ave Mujica","","","","","","","","",""
"ライオン","","","","","","","","","",""
"ワールドイズマイン","","","","","","","","","",""
