"日期","對象","類型","標題","地點","狀態","連結","年","月"
"2026-08-29","西本里美","朗讀劇","πTOKYO 夏の！朗読祭り！！","πTOKYO","已公開","https://www.eventernote.com/actors/%E8%A5%BF%E6%9C%AC%E3%82%8A%E3%81%BF/13822?utm_source=chatgpt.com","2026","8"
"2026-08-29","愛美","公錄/活動","#水曜日のD4DJ #84","LIVE HOUSE & CLUB ANTHEM AKIBA","已公開","https://www.eventernote.com/actors/%E6%84%9B%E7%BE%8E/2806/events","2026","8"
"2026-08-29","倉知玲鳳","公錄/活動","#水曜日のD4DJ #84","LIVE HOUSE & CLUB ANTHEM AKIBA","已公開","https://www.eventernote.com/actors/%E6%84%9B%E7%BE%8E/2806/events","2026","8"
"2026-8-30","Roselia","LIVE","Roselia 10th Anniversary「Lehre der Rose」DAY2","有明Arena","已公開","https://www.eventernote.com/events/463597","2026","8"
"2026-8-30","西本里美","朗讀劇","πTOKYO 夏の！朗読祭り！！","πTOKYO","已公開","https://www.eventernote.com/actors/%E8%A5%BF%E6%9C%AC%E3%82%8A%E3%81%BF/13822?utm_source=chatgpt.com","2026","8"
"2026-08-30","小日向美香","公錄/活動","ブタイウラ放送局 #26","WALLOP 放送局","已公開","https://livepocket.jp/event/search?performer=%E5%B0%8F%E6%97%A5%E5%90%91%E7%BE%8E%E9%A6%99","2026","8"
"2026-09-03","西本里美","朗讀劇","コトバノコトバ ③","CBGKシブゲキ!!","已公開","https://www.eventernote.com/actors/%E5%B0%8F%E6%97%A5%E5%90%91%E7%BE%8E%E9%A6%99/63191","2026","9"
"2026-09-03","小日向美香","朗讀劇","コトバノコトバ ③","CBGKシブゲキ!!","已公開","https://www.eventernote.com/actors/%E5%B0%8F%E6%97%A5%E5%90%91%E7%BE%8E%E9%A6%99/63191","2026","9"
"2026-09-05","西本里美","朗讀劇","コトバノコトバ ⑥・⑦","CBGKシブゲキ!!","已公開","https://www.eventernote.com/events/485895","2026","9"
"2026-09-05","青木陽菜","音樂祭","BM-ECHOES FESTIVAL 2026 DAY1","Zepp Osaka Bayside","已公開","https://www.eventernote.com/actors/%E9%9D%92%E6%9C%A8%E9%99%BD%E8%8F%9C/59830?utm_source=chatgpt.com","2026","9"
"2026-09-05","工藤晴香","FMT","工藤晴香粉絲見面會香港站2026","香港朗廷酒店 The Grand Ballroom","已公開","https://www.art-mate.net/doc/98381","2026","9"
"2026-09-06","小日向美香","朗讀劇","コトバノコトバ","CBGKシブゲキ!!","已公開","https://www.eventernote.com/actors/%E5%B0%8F%E6%97%A5%E5%90%91%E7%BE%8E%E9%A6%99/63191","2026","9"
"2026-09-06","青木陽菜","音樂祭","BM-ECHOES FESTIVAL 2026 DAY2","Zepp Nagoya","已公開","https://www.eventernote.com/actors/%E9%9D%92%E6%9C%A8%E9%99%BD%E8%8F%9C/59830?utm_source=chatgpt.com","2026","9"
"2026-09-06","高尾奏音","上映會／Talk","《偵探已經，死了。Season2》第1、2話先行上映＋Cast Talk","AEON Cinema 板橋","已公開","https://www.eventernote.com/actors/%E9%AB%98%E5%B0%BE%E5%A5%8F%E9%9F%B3/12490?utm_source=chatgpt.com","2026","9"
"2026-09-09","伊藤彩沙","LIVE／活動","少女☆歌劇 レヴュースタァライト「九九組の日2026」","飛行船 Theater","已公開","https://eplus.jp/sf/word/0000066806","2026","9"
"2026-09-09","相羽あいな","LIVE／活動","少女☆歌劇 レヴュースタァライト「九九組の日2026」","飛行船 Theater","已公開","https://eplus.jp/sf/word/0000066806","2026","9"
"2026-09-12","大橋彩香","LIVE","SHINE POST 相關大型活動 DAY1","Pia Arena MM","已公開","https://eplus.jp/sf/word/0000058996","2026","9"
"2026-09-12","佐佐木李子","音樂祭","駿府城夏祭り2026「ヨエフェス この日だけのSPライブ」","駿府城公園","已公開","https://sasakirico.com/","2026","9"
"2026-09-12","Raychell","LIVE","Raychell Live Tour「Colorless」福岡","border -live music & drinks-","已公開","https://www.eventernote.com/actors/%E5%B2%A1%E7%94%B0%E5%A4%A2%E4%BB%A5/37809/events?utm_source=chatgpt.com","2026","9"
"2026-09-12","岡田夢以","LIVE","Raychell Live Tour「Colorless」福岡","border -live music & drinks-","已公開","https://www.eventernote.com/actors/%E5%B2%A1%E7%94%B0%E5%A4%A2%E4%BB%A5/37809/events?utm_source=chatgpt.com","2026","9"
"2026-09-12","林鼓子","LIVE","LIBERTE LIVE 2026 ～First Act～","KIWA TENNOZ","已公開","https://www.eventernote.com/actors/%E6%9E%97%E9%BC%93%E5%AD%90/30284?utm_source=chatgpt.com","2026","9"
"2026-09-13","大橋彩香","LIVE","SHINE POST 相關大型活動 DAY2","Pia Arena MM","已公開","https://eplus.jp/sf/word/0000058996","2026","9"
"2026-09-13","志崎樺音","LIVE","志崎樺音 2nd Solo Live「mirror」","Veats Shibuya","已公開","https://www.eventernote.com/actors/%E5%BF%97%E5%B4%8E%E6%A8%BA%E9%9F%B3/42894/events","2026","9"
"2026-09-13","紡木吏佐","LIVE／FMT","紡木吏佐 30th LIVE EVENT「Rock Your Body」","P.O.Minamiaoyama Hall","已公開","https://www.eventernote.com/actors/%E5%B2%A1%E7%94%B0%E5%A4%A2%E4%BB%A5/37809?utm_source=chatgpt.com","2026","9"
"2026-09-13","岡田夢以","LIVE／FMT","紡木吏佐 30th LIVE EVENT「Rock Your Body」","P.O.Minamiaoyama Hall","已公開","https://www.eventernote.com/actors/%E5%B2%A1%E7%94%B0%E5%A4%A2%E4%BB%A5/37809?utm_source=chatgpt.com","2026","9"
"2026-09-13","高尾奏音","FMT","高尾奏音 Birthday 2026「RIBBON Anniversary」","橫濱 LANDMARK HALL","已公開","https://www.eventernote.com/actors/%E9%AB%98%E5%B0%BE%E5%A5%8F%E9%9F%B3/12490?utm_source=chatgpt.com","2026","9"
"2026-09-13","高尾奏音","FMT","櫻井陽菜 Birthday 2026「かかお17%」","橫濱 LANDMARK HALL","已公開","https://www.eventernote.com/actors/%E9%AB%98%E5%B0%BE%E5%A5%8F%E9%9F%B3/12490?utm_source=chatgpt.com","2026","9"
"2026-09-18","米澤茜","LIVE","AKANE YONEZA「It's you」Release Live","Live&Bar Shibuya Milkyway","已公開","https://www.eventernote.com/actors/%E7%B1%B3%E6%BE%A4%E8%8C%9C/73109/events?utm_source=chatgpt.com","2026","9"
"2026-9-19","愛美","音樂祭","ナガノアニエラフェスタ2026 DAY1","佐久市駒場公園","已公開","https://aimi.info/live-event/schedule","2026","9"
"2026-9-19","中島由貴","FMT","中島由貴 Birthday Event 2026","日本教育會館 一ツ橋 Hall","已公開","https://www.eventernote.com/actors/中島由貴/12491/events","2026","9"
"2026-9-19","伊藤彩沙","FMT","TERUNO×FAMILY 2026","Theater Mercury 新宿","已公開","https://www.eventernote.com/actors/伊藤彩沙/5588/events","2026","9"
"2026-9-19","立石凜","朗讀劇","キミに贈る朗読会《ミディアムブルーにさよならを》","MsmileBOX 澀谷","已公開","https://www.eventernote.com/actors/立石凜/61313/events","2026","9"
"2026-9-19","夏芽","音樂祭","FEST. INAZUMA 2026 LIVE AREA","滋賀","已公開","https://www.eventernote.com/actors/夏芽/34384","2026","9"
"2026-9-20","立石凜","朗讀劇","キミに贈る朗読会《ミディアムブルーにさよならを》","MsmileBOX 澀谷","已公開","https://www.eventernote.com/actors/立石凜/61313/events","2026","9"
"2026-9-20","大橋彩香","音樂祭","ナガノアニエラフェスタ2026 DAY2","佐久市駒場公園","已公開","https://eplus.jp/sf/word/0000058996","2026","9"
"2026-9-20","相羽あいな","音樂祭","ナガノアニエラフェスタ2026 DAY2","佐久市駒場公園","已公開","https://eplus.jp/sf/word/0000058996","2026","9"
"2026-9-20","愛美","LIVE","THE IDOLM@STER MILLION LIVE! 14thLIVE DAY2「Blooming Sign」","國立代代木競技場 第一體育館","已公開","https://www.eventernote.com/actors/愛美/2806/events","2026","9"
"2026-9-20","岡田夢以","LIVE","MEI Live Tour「MEI.01」大阪公演","大阪","已公開","https://www.eventernote.com/actors/岡田夢以/37809/events","2026","9"
"2026-9-21","渡瀨結月","FMT","声グラゼミナール ～業界のいろは学びまSHOW～ 第二彈","全電通勞動會館","已公開","https://www.eventernote.com/actors/渡瀨結月/55045","2026","9"
"2026-9-26","青木陽菜","LIVE","青木陽菜 LIVE 2026「Blazing Pit」","Zepp DiverCity Tokyo","已公開","https://www.eventernote.com/actors/青木陽菜/59830","2026","9"
"2026-9-27","Roselia","公錄／FMT","RoseliaのRADIO SHOUT! -Prost-","Pacifico 橫濱 Conference Center","已公開","https://bang-dream.com/artist/roselia/","2026","9"
"2026-9-27","愛美","FMT","25歳もぶっとバースデー！～にこにこでLet'2 GO～","日本教育會館 一ツ橋 Hall","已公開","https://www.eventernote.com/actors/愛美/2806/events","2026","9"
"2026-9-27","渡瀨結月","店鋪活動","渡瀨結月 × KINGLYMASK 一日店長活動","KINGLYMASK 原宿","已公開","https://www.eventernote.com/actors/渡瀨結月/55045","2026","9"
"2026-10-2","倉知玲鳳","舞台","タタラの唄姫 -神楽祓い-","飛行船シアター","已公開","https://www.eventernote.com/actors/倉知玲鳳/32783/events","2026","10"
"2026-10-3","中島由貴","LIVE／活動","プロジェクトセカイ 6th Anniversary 感謝祭 DAY1","日本","已公開","https://www.eventernote.com/actors/中島由貴/12491","2026","10"
"2026-10-4","紡木吏佐","DJ活動","『湯上がりリリィのぽかぽかたいむ』開催記念 アサルトリリィ DJイベント","BATHE YOTSUME BREWERY","已公開","https://www.eventernote.com/actors/紡木吏佐/32136/events","2026","10"
"2026-10-4","岡田夢以","FMT","MEI Live Tour「MEI.01」神奈川公演 1部 TALK EVENT","橫濱みなとみらい Bronth.LIVE","已公開","https://www.eventernote.com/actors/岡田夢以/37809/events","2026","10"
"2026-10-4","高尾奏音","FMT","MEI Live Tour「MEI.01」神奈川公演 1部 TALK EVENT","橫濱みなとみらい Bronth.LIVE","已公開","https://www.eventernote.com/actors/岡田夢以/37809/events","2026","10"
"2026-10-04","岡田夢以","LIVE","MEI Live Tour「MEI.01」神奈川公演 2部 LIVE","橫濱みなとみらい Bronth.LIVE","已公開","https://www.eventernote.com/actors/岡田夢以/37809/events","2026","10"
"2026-10-10","Poppin'Party","LIVE","BanG Dream! 13th☆LIVE DAY1 : Poppin'Party「Now Roading♪♪」","東京ガーデンシアター","已公開","https://www.eventernote.com/events/477391","2026","10"
"2026-10-11","羊宮妃那","FMT／公錄","EXTEND STEP HOOOOPE! 番組イベント2026","科学技術館 サイエンスホール","已公開","https://ticketjam.jp/tickets/hina-youmiya?utm_source=chatgpt.com","2026","10"
"2026-10-11","工藤晴香","LIVE","KDHRワンマンライブ「Dance to Dance」","赤羽ReNY alpha","已公開","https://kdharoom.com/dancetodance/","2026","10"
"2026-10-12","RAISE A SUILEN","LIVE","BanG Dream! 13th☆LIVE DAY3 : RAISE A SUILEN「EXTREME EXPRESS」","東京ガーデンシアター","已公開","https://www.eventernote.com/actors/紡木吏佐/32136/events","2026","10"
"2026-10-24","Ave Mujica","LIVE","Ave Mujica 7th LIVE「Virtus」DAY1","京王アリーナ TOKYO","已公開","https://bang-dream.com/events/avemujica_7th/","2026","10"
"2026-10-24","工藤晴香","FMT／Talk","ことばとば 1部","高槻市生涯学習センター 多目的ホール","已公開","https://threclo-hiragana.com/2026/07/01/20261024/","2026","10"
"2026-10-24","工藤晴香","FMT／Talk","ことばとば 2部","高槻市生涯学習センター 多目的ホール","已公開","https://threclo-hiragana.com/2026/07/01/20261024/","2026","10"
"2026-10-25","Ave Mujica","LIVE","Ave Mujica 7th LIVE「Virtus」DAY2","京王アリーナ TOKYO","已公開","https://bang-dream.com/events/avemujica_7th/","2026","10"
"2026-10-25","青木陽菜","FASHION／活動","Bushiroad Fashion Journey","澀谷 Hikarie Hall","已公開","https://www.eventernote.com/actors/青木陽菜/59830/events","2026","10"
"2026-10-25","相羽あいな","FASHION／活動","Bushiroad Fashion Journey","澀谷 Hikarie Hall","已公開","https://www.eventernote.com/actors/相羽あいな/21127","2026","10"
"2026-10-25","立石凜","FASHION／活動","Bushiroad Fashion Journey","澀谷 Hikarie Hall","已公開","https://bang-dream.com/events/bushiroad-fashion-journey/","2026","10"
"2026-10-31","中島由貴","FMT","2026 中島由貴香港粉絲見面會","香港荃灣帝盛酒店 荃福樓宴會廳","已公開","https://www.beffect.co.jp/information/","2026","10"
"2026-11-1","立石凜","朗讀劇","異空間リーディングステージ「アサルトリリィ」vol.2","新宿シアターサンモール","已公開","https://www.eventernote.com/actors/立石凜/61313/events","2026","11"
"2026-11-01","林鼓子","朗讀劇","異空間リーディングステージ「アサルトリリィ」vol.2","新宿シアターサンモール","已公開","https://www.eventernote.com/actors/林鼓子/30284/events","2026","11"
"2026-11-03","渡瀨結月","LIVE","Lyrical Lily 6th LIVE「渋谷とは魔境でございますか？」昼公演","澀谷 WOMB","已公開","https://www.eventernote.com/actors/渡瀨結月/55045/events","2026","11"
"2026-11-3","渡瀨結月","LIVE","Lyrical Lily 6th LIVE「渋谷とは魔境でございますか？」夜公演","澀谷 WOMB","已公開","https://www.eventernote.com/actors/渡瀨結月/55045/events","2026","11"
"2026-11-7","愛美","LIVE","AIMI ASIA TOUR 2026「STAR RISING」首爾公演","GABIN ART HALL","已公開","https://aimi.info/live-event/schedule/17897","2026","11"
"2026-11-14","MyGO!!!!!","LIVE","MyGO!!!!! 9th LIVE「つなぎ目の向こうに」- 神戸再景編 - DAY1","World Memorial Hall","已公開","https://bang-dream.com/events/mygo_9th_hyogo/","2026","11"
"2026-11-15","MyGO!!!!!","LIVE","MyGO!!!!! 9th LIVE「つなぎ目の向こうに」- 神戸再景編 - DAY2","World Memorial Hall","已公開","https://bang-dream.com/events/mygo_9th_hyogo/","2026","11"
"2026-11-15","愛美","LIVE","AIMI ASIA TOUR 2026「STAR RISING」香港公演","TIDES","已公開","https://aimi.info/live-event/schedule/17897","2026","11"
"2026-11-28","工藤晴香","舞台／音樂劇","昭和歌謡劇「歌の銀座パラダイス♪」","博品館劇場","已公開","https://1006entertainment.com/ginpara/","2026","11"
"2026-11-30","工藤晴香","舞台／音樂劇","昭和歌謡劇「歌の銀座パラダイス♪」","博品館劇場","已公開","https://1006entertainment.com/ginpara/","2026","11"
"2026-12-01","Ave Mujica","LIVE","EVANESCENCE 2026 JAPAN 東京公演","SGC HALL ARIAKE","已公開","https://bang-dream.com/artist/avemujica/","2026","12"
"2026-12-02","Ave Mujica","LIVE","EVANESCENCE 2026 JAPAN 東京公演","SGC HALL ARIAKE","已公開","https://bang-dream.com/artist/avemujica/","2026","12"
"2026-12-02","工藤晴香","舞台／音樂劇","昭和歌謡劇「歌の銀座パラダイス♪」","博品館劇場","已公開","https://1006entertainment.com/ginpara/","2026","12"
"2026-12-04","Ave Mujica","LIVE","EVANESCENCE 2026 JAPAN 大阪公演","Zepp Osaka Bayside","已公開","https://bang-dream.com/artist/avemujica/","2026","12"
"2026-12-05","工藤晴香","舞台／音樂劇","昭和歌謡劇「歌の銀座パラダイス♪」","博品館劇場","已公開","https://1006entertainment.com/ginpara/","2026","12"
"2026-12-12","佐佐木李子","音樂祭","京 Premium Live 2026","ロームシアター京都 メインホール","已公開","https://www.asca-official.com/info/","2026","12"
"2026-12-25","愛美","LIVE","AIMI ASIA TOUR 2026「STAR RISING」東京公演","ルネこだいら","已公開","https://aimi.info/live-event/schedule/17897","2026","12"
"2026-12-13","愛美","音樂祭","京 Premium Live 2026 DAY2","ROHM Theatre Kyoto Main Hall","已公開","https://www.eventernote.com/","2026","12"
"2026-12-13","青木陽菜","音樂祭","京 Premium Live 2026 DAY2","ROHM Theatre Kyoto Main Hall","已公開","https://www.eventernote.com/","2026","12"
"2026-12-13","伊藤彩沙","音樂祭","京 Premium Live 2026 DAY2","ROHM Theatre Kyoto Main Hall","已公開","https://www.eventernote.com/","2026","12"
